label;synsets
Health;wellnes,health
Logistics;coordination,engineering,planning,strategy,organization,plans,systematization,masterminding,logistics
Nutrition;nutriment,nourishment,sustenance,aliment,alimentation,victuals,nutrition
Protection;protictive covering,protictive cover,security,auspices,aegis,trade protection,tribute,protection
Water-Sanitation-Hygiene;H2O,body of water,water system,water supply,urine,piss,pee,piddle,weewee,irrigate,sanitization,sanitisation,hygienics,water,sanitation,hygiene
Camp Coordination-Management;encampment,cantonment,bivouac,refugee,flee,tent,shelter,asylum,camp,camp coordination,camp management
Early recovering;convalescence,recuperation,retrieval,early recovering
Education;instructions,teaching,educational activities,training,department of education,education department,education
Emergency Telecommunication;telecom,emergency telecommunication
Food Security;solid food,food,food security
Disaster;catastrophe,calamity,cataclysm,tragedy,hurricane,tsunami,earthquake,volcano,tornado
Disease;ebola,zika,cholera
