;source
0;Well done, you've passed the bleeding section.
1;I've just unlocked the Bleeding badge on the Red Cross app!
2;Good job. You've earned the heart attack achievement.
3;I've just unlocked the Heart attack badge on the Red Cross app!
4;Well done. You got every question right and have unlocked the burns achievement!
5;I've just unlocked the Burns badge on the Red Cross app!
6;Good work. You know how to help someone who's choking. Here's your choking achievement!
7;I've just unlocked the Choking badge on the Red Cross app!
8;Excellent. You know how to help someone who's unconscious and breathing. Here's your achievement.
9;I've just unlocked the Unconscious breathing  badge on the Red Cross app!
10;You're prepared for the unexpected. Here's your badge to prove it.
11;I've just unlocked the Prepare badge on the Red Cross app!
12;Congratulations, you've completed the Head Injury test. Here's your badge.
13;I just won the Head Injury badge on the Red Cross First Aid app!
14;Well done! You've passed the Broken Bones test and won your badge.
15;I won the Broken Bones badge on the Red Cross First Aid app. Join me so you can too.
16;Great work! Here's your Allergies badge for completing the test!
17;Allergies/anaphylaxis
18;I won the Allergies badge on the Red Cross First Aid app.
19;Good work! You've passed the Stroke test and you deserve your badge.
20;Stroke
21;Check out the Red Cross First Aid app. I just won the Stroke badge. Join me so you can too.
22;Excellent! That test was hard, but you've passed. Here's your badge.
23;Strains & Sprains
24;I just passed the Strains & Sprains quiz on the First Aid app. Why not try for yourself?
25;Well done. You got every question right and have unlocked the psychological first aid achievement!
26;Psychological First Aid
27;I've just unlocked the Psychological First Aid badge on the Red Cross First Aid App!
28;About
29;About the app
30;The content in this app is based on the Everyday First Aid program developed by the British Red Cross.
31;About the (country) Red Cross
32;Insert history of your national society here.
33;When you observe these symptoms, call ###.
34;Call ###
35;If the person has a known allergy and has an auto-injector/Epi-pen, you can help them to use it. Give them constant reassurance while waiting for the ambulance.
36;Learn more
37;If the person is suffering from anaphylaxis, call ###.
38;Using an EpiPenÂ®.
39;When you observe these symptoms, call ###.
40;Call ###
41;If the person has a known allergy and has an auto-injector/Epi-pen, you can help them to use it. Give them constant reassurance while waiting for the ambulance.
42;Learn more
43;Animals
44;Type information.
45;Do not try to stop, catch or hold the animal that bit the person.
46;Call ### if the wound from an animal bite is bleeding severely or if the animal might have rabies.
47;If you are not sure if the animal has rabies or not, call ###. Untreated, rabies can be fatal.
48;If bleeding is serious: Control bleeding first
49;The wound will be cleaned at a medical facility.
50;If bleeding is minor: Wash the wound with soap and water, and irrigate with clean tap water. Then control any bleeding and apply antibiotic ointment and a dressing.
51;How do I know if an animal is rabid?
52;Rabid animals may drool, appear partially paralyzed, act aggressively or behave in a strange way. Get immediate medical attention for an animal bite if you are unsure whether or not the animal has rabies.
53;Should I be worried about domestic animal bites?
54;The bites of both domestic and wild animals can cause infection and soft tissue injury. Both can carry and transmit rabies.
55;How is rabies treated?
56;Treatment for rabies includes a series of vaccine injections to build up immunity to fight against the infection.
57;Animals
58;Type information.
59;Do not try to stop, catch or hold the animal that bit the person.
60;Call ### if the wound from an animal bite is bleeding severely or if the animal might have rabies.
61;If you are not sure if the animal has rabies or not, call ###. Untreated, rabies can be fatal.
62;If bleeding is serious: Control bleeding first
63;The wound will be cleaned at a medical facility.
64;If bleeding is minor: Wash the wound with soap and water, and irrigate with clean tap water. Then control any bleeding and apply antibiotic ointment and a dressing.
65;How do I know if an animal is rabid?
66;Rabid animals may drool, appear partially paralyzed, act aggressively or behave in a strange way. Get immediate medical attention for an animal bite if you are unsure whether or not the animal has rabies.
67;Should I be worried about domestic animal bites?
68;The bites of both domestic and wild animals can cause infection and soft tissue injury. Both can carry and transmit rabies.
69;How is rabies treated?
70;Treatment for rabies includes a series of vaccine injections to build up immunity to fight against the infection.
71;Allergies/Anaphylaxis
72;Which of the following items most commonly cause an allergic reaction?
73;Choose the correct answer
74;The most common foods that can cause an allergic reaction are nuts, shellfish, dairy products, and eggs. Other things such as latex, bee and wasp stings, and certain medications can also cause allergic reactions.
75;Nuts
76;Towels
77;Icepack
78;Water
79;True or False: Anaphylactic shock occurs when there is a sale at your favourite store.
80;Choose the correct answer
81;Anaphylactic shock is a severe allergic reaction that makes it difficult for a person to breathe and may lead to a thready pulse and low blood pressure with altered levels of consciousness. If a person is identified as being at risk of anaphylactic shock, the doctor may prescribe an epinephrine auto-injector.
82;A person having an allergic reaction may develop which of the following:
83;Choose three
84;If a person is having an allergic reaction he or she can develop a rash, itchiness or swelling, his or her breathing may slow down, and vomiting and diarrhea can occur. Common causes of allergic reactions are pollen, stings, latex, and some food items, such as nuts or dairy products.
85;Rash
86;Cravings
87;Itchiness
88;Vomiting
89;Feathers
90;Appetite
91;Which of the following body parts are most likely to be itchy and swell if someone is having an allergic reaction?
92;Choose the best 3 asnwers
93;A person may develop itchiness or swelling on their hands, feet or face when having an allergic reaction.
94;Face
95;Hands
96;Feet
97;Knees
98;Which of the following is used to ease the symptoms of an allergic reaction in an emergency situation?
99;Choose the correct answer
100;An epinephrine auto-injector should be used when someone is suffering from anaphylaxis.
101;Pen
102;Water pistol
103;Epinephrine auto-injector
104;Thermometer
105;Well done! You got all the questions correct.
106;So close! Answer the questions again and try to get your Allergies badge!
107;Reassure the person. If the attack becomes severe, they don't have their medication or they don't improve with medication, call ### or get someone else to do it.
108;A mild attack should ease within a few minutes. If it doesn't, or the inhaler has no effect, call ###.
109;You should call ### right away for an ambulance to start treatment and transport the person to hospital.
110;When should I call ###?
111;"Call ### if any of the following apply: - They don't have any medication with them."""
112;Help the person sit in a comfortable position and take their medication.
113;Reassure the person.
114;If the attack becomes severe, they don't have their medication or they don't improve with medication, call ### or get someone else to do it.
115;Call ###
116;Learn more
117;If the bleeding is severe, call ### as soon as possible, or get someone else to do it.
118;Do not remove it but add more items (like t-shirts and towels) and maintain firm pressure. Call ### as soon as possible, or get someone else to do it.
119;This means that the body is going into shock. Call ### immediately.
120;Pinch the soft part of the nose just below the bony ridge (or get them to) and ask them to lean forward and breathe through their mouth. Pinching the nose helps the blood to clot. Don't ask them to lean back, even though it may seem like the right thing to do. The blood could get into the windpipe and block their airway, or it could go into their stomach and may cause the person to vomit. If bleeding persists, call ### or get someone else to do it.
121;If the bleeding is severe, call ### as soon as possible, or get someone else to do it.
122;Call ###
123;Learn more
124;If the injured area is obviously deformed, significantly painful or needed for transport, call ### or get someone else to do it.
125;Your friend has accidently cut their hand on a knife in the sink while washing up. They are now bleeding heavily from a large wound. What should you do?
126;Choose 1...
127;Put pressure on the wound to slow or stop the bleeding.
128;Tie a tourniquet above the wound and call ###.
129;Let the blood drain out and call ###.
130;Put pressure on the wound and call ###.
131;Choose five objects from the following that you could use when applying pressure to the wound:
132;Choose 5...
133;It's ideal to apply pressure using something clean and absorbent.
134;Dish towel
135;Pencil
136;Toaster
137;Towel
138;T-shirt
139;Spoon
140;Cushion
141;Mobile phone
142;Can of baked beans
143;Potted plant
144;Hair straighteners
145;Pillow case
146;House keys
147;Where would you apply pressure?
148;Touch the correct position
149;Apply pressure directly to the wound.
150;Why do you apply pressure to a wound that is bleeding?
151;Choose 1...
152;Applying pressure slows down or stops the flow of blood.
153;To stop or slow down the flow of blood and help the blood clot.
154;To reduce pain and the risk of infection.
155;To take the person's mind off their bleeding and stop them from feeling sick.
156;Well done, you've passed the bleeding section.
157;Great effort. But you got some wrong. Try again!
158;I just earned the Bleeding badge with the First Aid app!
159;If the injured area is obviously deformed, significantly painful or needed for transport, call ### or get someone else to do it.
160;Learn more
161;Which of the following are good indicators that someone has a broken bone?
162;Choose 3
163;Remember, if someone has a broken bone the person may have bruising, pain or swelling, or be lying in an unnatural position. In severe cases, the limb may be misshapen or there may be an open wound.
164;Bruising
165;Coughing
166;Swelling
167;Pain
168;Laughter
169;Pink eye
170;True or False: If a bone looks dislocated you should always put it back in place.
171;Choose the correct answer
172;False, if there is a dislocation or the limb looks broken, the hospital will take care of it. Never attempt to put dislocations back in place, you may cause further damage.
173;Which of the following items are best for a person to use to support a suspected broken arm?
174;Choose the correct answer
175;Do not move the injured area unnecessarily. If you can, place soft padding such as clothing or blankets around the limb.
176;Ice cubes
177;Garden shovel
178;Clothing
179;Violin
180;If someone asks for advice on how to support an injury what can you recommend?
181;Select the best 2 answers
182;Try to encourage the person to support the injury by holding it. Cushions or padding can also be used to support the injury.
183;Go shopping
184;Encourage the person to support the injury by holding it
185;Encourage the person to move it
186;Use a cushion or padding for support
187;True or False: If a person can move his or her limb, he or she does not have a broken bone.
188;Choose the correct answer
189;The only accurate way to diagnose a broken bone is to x-ray it. The person may still have a broken bone, even if he or she can move the limb. If the injury causes pain or discomfort and symptoms do not improve, seek medical advice.
190;Good try, but you've not quite managed to answer all the questions correctly. Try again to get your Broken Bone achievement.
191;Buy a kit
192;The Be Red Cross Ready First Aid Kit contains essential first aid supplies to treat cuts, scrapes, pain, swelling and more. All 73 pieces of this kit are latex-free and are packaged in a soft pack with clear pocket organization for quick access. This kit is perfect for the home or on-the-go.
193;Buy a kit
194;If necessary, call ### or get someone else to do it.
195;Always call ### if a child has been burned, the burn blisters, affects more than one area of the body, covers hands, feet, joints or face, or if underlying tissues are visible.
196;Start 10 minute timer
197;If necessary, call ### or get someone else to do it.
198;Call ###
199;Learn more
200;How long should you leave a burn under cool running water?
201;Drag slider to adjust the time
202;Cool a burn under cool running water for at least 10 minutes.
203;Minutes
204;After cooling a burn that still requires medical attention, which of the following items should be used to cover it?
205;Select 1...
206;After a burn has been cooled and further medical attention is required, cover it with plastic wrap.
207;In the absence of water, which four items could you use to cool the burn?
208;Choose 4...
209;Use any cold, running liquid to cool a burn, until you get some water.
210;Hot water
211;Moisturiser
212;Butter
213;Orange juice
214;Milk
215;Cola
216;Oil
217;Sports drink
218;Well done. You got every question right and have unlocked the burns achievement!
219;Good try, but you've not managed to answer all the questions correctly. Try again to win your Burns badge.
220;I just earned the Burns badge with the First Aid app!
221;Chemical emergencies
222;Chemical emergencies are a fact of modern life. Whether from accidents at home, on the road or in the workplace, or from terrorist attacks, we all need to know the basics of what to do.
223;Before checklist
224;Keep chemicals, including medicines and cleaning products, out of sight and reach of children.
225;Never put cleaning products or household chemicals into soda or juice bottles. Someone may accidently drink them.
226;Clean up chemical spills immediately with rags, while protecting your eyes and skin. Allow the fumes in the rags to evaporate outdoors in a safe place. Wrap them up in a newspaper and dispose of them in a sealed plastic bag.
227;During
228;Unless you've been advised by a medical professional, don't give the victim anything to eat or drink.
229;Keep the label of the chemical with you.
230;This will help the emergency services make a diagnosis.
231;Call ###
232;Call ###
233;During major chemical emergencies
234;If a dangerous chemical is released into the environment, listen to radio or television news.
235;Follow instructions from local authorities.
236;If told to stay indoors, turn off any heating and air conditioning systems, and put tape around closed doors, windows and air vents.
237;Poisoning and harmful substances
238;Chikungunya
239;Chikungunya is similar to Dengue, but the fever and joint pain are more intense in the case of Chikungunya.
240;Learn More
241;Children, pregnant women, and adults over 65 are most vulnerable to Chikungunya.
242;Chikungunya cannot affect the same person twice.
243;There is no vaccine.
244;Generally it does not cause death, but more vulnerable persons and those with diseases such as diabetes, hypertension, renal failure, tuberculosis, among others, should be medically monitored because there have been cases of fatality in this group of people.
245;Signs and symptoms
246;High fever
247;Joint pain
248;Muscle pain
249;Headache
250;Malaise
251;Rashes
252;Nausea and vomiting
253;How is it transmitted?
