;source
0; APRIL 2019 CONTACT US
1;FROM INTERNATIONAL PROGRAMS
2;Temporary Medical License Disclaimer
3;Since we have been receiving quite a bit of feedback regarding documents needed for Temporary Medical Licenses to work in our mission countries, we wanted to provide clarity on the process and requirements.
4; Temporary Medical Licenses (TMLs) are occupational licenses that permit our volunteers to legally practice medicine in the mission countries. Regardless of where you practice medicine, if you are not from the country where the mission is taking place, you will need to apply for a TML through your program coordinator, volunteer manager or designated staff. They will acquire the TML from you for submission to the respective mission site country's Ministry of Health.
5;The TML process and document requirement for each country varies. The documents that program coordinators, volunteer managers or designated staff request are parameters set by the ministries of health and governments and are subject to change.
6;Even if you have been on a mission before, or are going back to a country for additional programs, please review the TML requirements each time you are confirmed to a program!
7;We greatly appreciate your flexibility and commitment to our teams!
8;Missions Recap
9; With each year that passes, Operation Smile's comprehensive care grows stronger. Our goals are broader in scope, and we are reaching new heights in our ability to see patients through every stage of their treatment. The quality of care and safety of patients will always be paramount in the work of Operation Smile.
10;", Antsirabe, Madagascar  Lilongwe, Malawi Rwinkwavu, Rwanda 5'), Bangalore, India 6')Lu'an Anhui, China, 7'), Cairo, Egypt 8'), Ho, Ghana, This April, we're conducting missions in  led by Kristina Grossman and Mich Rakotomalala"" and  led by Kyra Brown and Elikem Nyavor. We are excited and honored to bring care to those in need! 1), Antsirabe, Madagascar  Lilongwe, Malawi Rwinkwavu, Rwanda 5'), Bangalore, India 6')Lu'an Anhui, China,) 7'), Cairo, Egypt 8'), Ho, GhanaThis April, we're conducting missions in  led by Kristina Grossman and Mich Rakotomalala""  and  led by Kyra Brown and Elikem Nyavor.), We are excited and honored to bring care to those in need!]"
11;Last month, program coordinators Bhaskar, John Paul and Bhavna Sharma led a successful mission in Bangalore, India. The mission was particularly impacted by their medical student volunteers whose positive attitudes aided in the effectiveness of the mission.
12;Program coordinators Danilo, Patricia and Arielle led their team through a prosperous mission in Asuncion, Paraguay. The team worked through language barriers to provide a safe and welcoming experience for our patients. At Asuncion Elementary School, the student team on this mission led a promising and fun health training session that taught students at the school techniques for brushing their teeth properly, tips for safe hand-washing and much more.
13; In Zunyi, China, program coordinators Christian, Merry and Emily led their team through a successful and productive mission. The team was joined by the Zunyi Women and Children's Hospital to celebrate their successes. One patient in particular had an impactful story that the Zunyi team had the privilege of sharing.
14; After seeing her son's cleft lip, this patient's mother abandoned him as a baby. Still full of hope and love for the child, his aunt took him in, determined to find a solution. When they heard about Operation Smile, the boy and his aunt traveled to Zunyi to receive care. After passing his comprehensive health evaluation, the boy was put on the mission schedule. It was an honor to perform safe surgery on this patient, and give him the confidence and dignity he deserves.
15;Meanwhile in Santa Cruz, Bolivia, the cooperation and collaboration across all specialties in this team equated to a successful and safe mission. Program coordinators Maria Cecilia and Vania Tally were happy to have talented and dedicated speech therapists on their team who worked alongside patients and their families to provide comprehensive care.
16;In Jimma, Ethiopia, program coordinators Kyra Brown and Abreham Haddiss had a delay in receiving their cargo. Instead of waiting around, the team decided to fill their extra day with lectures and small-scale training sessions for the anesthesiologist residents and nursing staff at the hospital! After receiving their supplies, the team and local volunteers held a great mission, providing care to patients like 18-year-old Getachew.
